% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.026	1	1	3	7	1	0	19	0
0.026	1	1	3	7	1	0	19	1
0.027	1	1	3	8	1	0	19	0
0.027	1	1	3	8	1	0	19	1
0.028	1	1	3	9	1	0	19	0
0.028	1	1	3	9	1	0	19	1
0.029	1	1	3	10	1	0	19	1
0.03	1	1	4	1	1	0	19	0
0.03	1	1	4	1	1	0	19	1
0.031	1	1	4	2	1	0	7	0
0.031	1	10	4	2	14	0	7	0
0.031	1	1	4	2	1	0	7	1
0.031	1	10	4	2	14	0	7	1
0.032	1	1	4	3	1	0	7	0
0.032	1	10	4	3	14	0	7	0
0.032	1	1	4	3	1	0	7	1
0.032	1	10	4	3	14	0	7	1
0.033	1	1	4	4	1	20	161	0
0.033	1	10	4	4	14	0	7	0
0.033	1	1	4	4	1	0	7	1
0.033	1	10	4	4	14	0	7	1
0.034	1	1	4	5	1	20	161	0
0.034	1	10	4	5	14	0	7	0
0.034	1	1	4	5	1	0	7	1
0.034	1	10	4	5	14	0	7	1
0.035	1	1	4	6	1	0	7	1
0.035	1	10	4	6	14	0	7	1
0.036	1	1	4	7	1	20	161	0
0.036	1	10	4	7	14	0	7	0
0.036	1	1	4	7	1	0	7	1
0.036	1	10	4	7	14	0	7	1
0.037	1	1	4	8	1	20	161	0
0.037	1	10	4	8	14	0	7	0
0.037	1	1	4	8	1	0	7	1
0.037	1	10	4	8	14	0	7	1
0.038	1	12	4	9	26	0	7	0
0.038	1	1	4	9	1	20	161	0
0.038	1	12	4	9	26	0	7	1
0.038	1	1	4	9	1	0	7	1
0.039	1	10	4	10	14	0	7	0
0.039	1	12	4	10	26	0	7	0
0.039	1	10	4	10	14	0	7	1
0.039	1	12	4	10	26	0	7	1
0.04	1	1	5	1	1	20	161	0
0.04	1	1	5	1	1	0	7	1
0.04	1	10	5	1	14	0	7	1
0.041	1	12	5	2	26	0	7	1
0.041	1	1	5	2	1	20	161	1
0.042	1	12	5	3	26	0	7	0
0.042	1	1	5	3	1	20	161	0
0.042	1	10	5	3	14	0	7	1
0.042	1	12	5	3	26	0	7	1
0.043	1	12	5	4	26	0	7	0
0.043	1	1	5	4	1	20	161	1
0.043	1	10	5	4	14	0	7	1
0.044	1	14	5	5	35	0	7	0
0.044	1	1	5	5	1	20	161	0
0.044	1	12	5	5	26	0	7	1
0.044	1	14	5	5	35	0	7	1
0.045	1	1	5	6	1	20	161	1
0.045	1	10	5	6	14	0	7	1
0.046	1	14	5	7	35	0	7	0
0.046	1	1	5	7	1	20	161	0
0.046	1	12	5	7	26	0	7	1
0.046	1	14	5	7	35	0	7	1
0.047	1	1	5	8	1	20	161	1
0.047	1	10	5	8	14	0	7	1
0.048	1	12	5	9	26	0	7	1
0.048	1	14	5	9	35	0	7	1
0.049	1	14	5	10	35	0	7	0
0.049	1	13	5	10	43	0	7	0
0.049	1	1	5	10	1	20	161	1
0.049	1	10	5	10	14	0	7	1
0.05	1	1	6	1	1	20	161	0
0.05	1	12	6	1	26	0	7	1
0.05	1	14	6	1	35	0	7	1
0.051	1	13	6	2	43	0	7	1
0.051	1	1	6	2	1	20	161	1
0.052	1	13	6	3	43	0	7	0
0.052	1	1	6	3	1	20	161	0
0.052	1	10	6	3	14	0	7	1
0.052	1	12	6	3	26	0	7	1
0.053	1	14	6	4	35	0	7	1
0.053	1	13	6	4	43	0	7	1
0.054	1	10	6	5	14	20	161	0
0.054	1	1	6	5	1	20	161	1
0.054	1	10	6	5	14	20	161	1
0.055	1	13	6	6	43	0	7	0
0.055	1	12	6	6	26	0	7	1
0.055	1	14	6	6	35	0	7	1
0.056	1	5	6	7	54	20	161	0
0.056	1	1	6	7	1	20	161	0
0.056	1	13	6	7	43	0	7	1
0.056	1	5	6	7	54	20	161	1
0.057	1	10	6	8	14	20	161	0
0.057	1	1	6	8	1	20	161	1
0.057	1	10	6	8	14	20	161	1
0.058	1	13	6	9	43	0	7	0
0.058	1	12	6	9	26	0	7	1
0.058	1	14	6	9	35	0	7	1
0.059	1	13	6	10	43	0	7	1
0.059	1	5	6	10	54	20	161	1
0.06	1	5	7	1	54	20	161	0
0.06	1	1	7	1	1	20	161	0
0.06	1	1	7	1	1	20	161	1
0.06	1	10	7	1	14	20	161	1
0.061	1	10	7	2	14	20	161	0
0.061	1	12	7	2	26	0	7	1
0.061	1	14	7	2	35	0	7	1
0.062	1	13	7	3	43	0	7	1
0.062	1	5	7	3	54	20	161	1
0.063	1	5	7	4	54	20	161	0
0.063	1	3	7	4	62	0	7	0
0.063	1	3	7	4	62	0	7	1
0.063	1	1	7	4	1	20	161	1
0.064	1	1	7	5	1	20	161	0
0.064	1	10	7	5	14	20	161	0
0.064	1	10	7	5	14	20	161	1
0.064	1	12	7	5	26	0	7	1
0.065	1	14	7	6	35	0	7	1
0.065	1	13	7	6	43	0	7	1
0.066	1	12	7	7	26	20	161	0
0.066	1	5	7	7	54	20	161	1
0.066	1	3	7	7	62	0	7	1
0.067	1	5	7	8	54	20	161	0
0.067	1	1	7	8	1	20	161	1
0.067	1	10	7	8	14	20	161	1
0.068	1	3	7	9	62	0	7	0
0.068	1	11	7	9	69	0	7	0
0.068	1	12	7	9	26	20	161	1
0.068	1	14	7	9	35	0	7	1
0.069	1	1	7	10	1	20	161	0
0.069	1	10	7	10	14	20	161	0
0.069	1	13	7	10	43	0	7	1
0.069	1	5	7	10	54	20	161	1
0.07	1	12	8	1	26	20	161	0
0.07	1	3	8	1	62	0	7	1
0.07	1	11	8	1	69	0	7	1
0.071	1	1	8	2	1	20	161	1
0.071	1	10	8	2	14	20	161	1
0.072	1	5	8	3	54	20	161	0
0.072	1	12	8	3	26	20	161	1
0.072	1	14	8	3	35	0	7	1
0.073	1	11	8	4	69	0	7	0
0.073	1	13	8	4	43	0	7	1
0.073	1	5	8	4	54	20	161	1
0.074	1	8	8	5	75	0	7	0
0.074	1	1	8	5	1	20	161	0
0.074	1	3	8	5	62	0	7	1
0.074	1	11	8	5	69	0	7	1
0.075	1	10	8	6	14	20	161	0
0.075	1	12	8	6	26	20	161	0
0.075	1	8	8	6	75	0	7	1
0.075	1	1	8	6	1	20	161	1
0.076	1	14	8	7	35	20	161	0
0.076	1	10	8	7	14	20	161	1
0.076	1	12	8	7	26	20	161	1
0.077	1	14	8	8	35	20	161	1
0.077	1	13	8	8	43	0	7	1
0.078	1	5	8	9	54	20	161	0
0.078	1	3	8	9	62	20	161	0
0.078	1	5	8	9	54	20	161	1
0.078	1	3	8	9	62	20	161	1
0.079	1	11	8	10	69	0	7	0
0.079	1	8	8	10	75	0	7	0
0.079	1	11	8	10	69	0	7	1
0.079	1	8	8	10	75	0	7	1
0.08	1	15	9	1	82	20	161	0
0.08	1	1	9	1	1	20	161	0
0.08	1	15	9	1	82	20	161	1
0.08	1	1	9	1	1	20	161	1
0.081	1	10	9	2	14	20	161	0
0.081	1	12	9	2	26	20	161	0
0.081	1	10	9	2	14	20	161	1
0.081	1	12	9	2	26	20	161	1
0.082	1	14	9	3	35	20	161	0
0.082	1	14	9	3	35	20	161	1
0.082	1	13	9	3	43	0	7	1
0.083	1	5	9	4	54	20	161	1
