% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	62.3709	0
0.041	2	1	1	62.2741	1
0.054	1	10	14	62.3709	0
0.054	2	10	14	62.2741	1
0.056	1	5	54	62.3709	0
0.056	2	5	54	62.2741	1
0.066	1	12	26	62.3709	0
0.066	2	12	26	62.2741	1
0.075	1	14	35	62.3709	0
0.075	2	14	35	62.2741	1
0.076	1	3	62	62.3709	0
0.076	2	3	62	62.2741	1
0.077	1	15	82	62.3709	0
0.077	2	15	82	62.2741	1
0.081	1	1	1	62.3709	0
0.081	2	1	1	62.2741	1
0.084	1	13	43	62.3709	0
0.084	2	13	43	62.2741	1
0.085	1	11	69	62.3709	0
0.085	2	11	69	62.2741	1
0.086	1	7	88	62.3709	0
0.086	2	7	88	62.2741	1
0.091	1	8	75	62.3709	0
0.091	2	8	75	62.2741	1
0.092	1	4	93	62.3709	0
0.092	2	4	93	62.2741	1
0.094	1	10	14	62.3709	0
0.094	2	10	14	62.2741	1
0.096	1	5	54	62.3709	0
0.096	2	5	54	62.2741	1
0.106	1	12	26	62.3709	0
0.106	2	12	26	62.2741	1
0.115	1	14	35	62.3709	0
0.115	2	14	35	62.2741	1
0.116	1	3	62	62.3709	0
0.116	2	3	62	62.2741	1
0.117	1	15	82	62.3709	0
0.117	2	15	82	62.2741	1
0.118	1	6	97	62.3709	0
0.118	2	6	97	62.2741	1
0.121	1	1	1	62.3709	0
0.121	2	1	1	62.2741	1
0.122	1	2	100	62.3709	0
0.122	2	2	100	62.2741	1
0.124	1	13	43	62.3709	0
0.124	2	13	43	62.2741	1
0.125	1	11	69	62.3709	0
0.125	2	11	69	62.2741	1
0.126	1	7	88	62.3709	0
0.126	2	7	88	62.2741	1
0.127	1	9	102	62.3709	0
0.127	2	9	102	62.2741	1
0.131	1	8	75	62.3709	0
0.131	2	8	75	62.2741	1
0.132	1	4	93	62.3709	0
0.132	2	4	93	62.2741	1
0.134	1	10	14	62.3709	0
0.134	2	10	14	62.2741	1
0.136	1	5	54	62.3709	0
0.136	2	5	54	62.2741	1
0.146	1	12	26	62.3709	0
0.146	2	12	26	62.2741	1
0.155	1	14	35	62.3709	0
0.155	2	14	35	62.2741	1
0.156	1	3	62	62.3709	0
0.156	2	3	62	62.2741	1
0.157	1	15	82	62.3709	0
0.157	2	15	82	62.2741	1
0.158	1	6	97	62.3709	0
0.158	2	6	97	62.2741	1
0.161	1	1	1	62.3709	0
0.161	2	1	1	62.2741	1
0.162	1	2	100	62.3709	0
0.162	2	2	100	62.2741	1
0.164	1	13	43	62.3709	0
0.164	2	13	43	62.2741	1
0.165	1	11	69	62.3709	0
0.165	2	11	69	62.2741	1
0.166	1	7	88	62.3709	0
0.166	2	7	88	62.2741	1
0.167	1	9	102	62.3709	0
0.167	2	9	102	62.2741	1
0.171	1	8	75	62.3709	0
0.171	2	8	75	62.2741	1
0.172	1	4	93	62.3709	0
0.172	2	4	93	62.2741	1
0.174	1	10	14	62.3709	0
0.174	2	10	14	62.2741	1
0.176	1	5	54	62.3709	0
0.176	2	5	54	62.2741	1
0.186	1	12	26	62.3709	0
0.186	2	12	26	62.2741	1
0.195	1	14	35	62.3709	0
0.195	2	14	35	62.2741	1
0.196	1	3	62	62.3709	0
0.196	2	3	62	62.2741	1
0.197	1	15	82	62.3709	0
0.197	2	15	82	62.2741	1
0.198	1	6	97	62.3709	0
0.198	2	6	97	62.2741	1
0.201	1	1	1	62.3709	0
0.201	2	1	1	62.2741	1
0.202	1	2	100	62.3709	0
0.202	2	2	100	62.2741	1
0.204	1	13	43	62.3709	0
0.204	2	13	43	62.2741	1
0.205	1	11	69	62.3709	0
0.205	2	11	69	62.2741	1
0.206	1	7	88	62.3709	0
0.206	2	7	88	62.2741	1
0.207	1	9	102	62.3709	0
